knn,silhouette,calinski,davies_bouldin,ari_vs_k22,min_size,max_size,size_ratio,n_comp
6,-0.1678284142371783,28.33265932575836,5.286154331054208,0.5285113750464789,37,365,9.86,1
7,-0.05537420020510753,31.697084530193646,7.927182736407706,1.0,36,329,9.14,1
8,-0.14185006381439,30.706338717336475,7.662153575060821,0.8096579590747955,35,349,9.97,1
9,-0.152897244633493,26.81507694208219,8.13462660626819,0.7265881531342516,33,378,11.45,1
10,-0.21399760916193178,29.065231785005782,10.470873931789734,0.7087310971511211,30,383,12.77,1
11,-0.1508716453068694,28.534123721845233,5.259454161170542,0.5845090077633228,31,326,10.52,1
12,-0.1985144394734098,27.854935535271487,5.222777321579374,0.5949017711944603,30,370,12.33,1
13,-0.22290548783199782,30.29507832776415,11.286418087193363,0.6082338578801585,30,319,10.63,1
14,-0.18885241863428934,33.07615823681127,5.577954098622809,0.5959607612115883,30,317,10.57,1
15,-0.18984730976772143,35.43749752815424,6.058109920575749,0.5773155117985945,30,316,10.53,1
16,-0.1623947807643181,40.312909941972684,8.80804093060651,0.5561786841383651,30,303,10.1,1
17,-0.09286447726213178,41.62868836664572,8.713910882529902,0.5814816963329619,30,313,10.43,1
18,-0.13537866317690422,39.38440820071509,5.85989760204776,0.7114883144352188,30,315,10.5,1
19,-0.15284199577156,40.163743199493204,5.6817998503051275,0.5803759893846295,30,311,10.37,1
20,-0.08024987699683943,44.828092512591404,8.02034767287966,0.4600158700963522,30,256,8.53,1
21,-0.11400392616001118,45.445066933142016,5.005392449015741,0.3538669615547896,30,263,8.77,1
22,-0.07098429807737082,69.31616914326025,3.755441884832587,0.5129312017362596,31,303,9.77,1
23,-0.03260965030211257,67.76002883647857,6.940730735453679,0.5854396662083431,31,330,10.65,1
24,-0.0875279005350713,75.37672065118747,5.108985816089623,0.4493214800762226,31,287,9.26,1
25,-0.06660849679399523,78.58759675761705,5.944822176338299,0.4377170157131217,31,287,9.26,1
26,-0.05165200225823604,66.37264326198388,6.909808897252816,0.519118211774123,44,276,6.27,1
27,-0.04459792529365198,62.57321112148885,7.19967595121169,0.505452920157985,30,285,9.5,1
28,-0.040222083657685516,65.66989651276755,5.680482638942836,0.5283944250726316,39,254,6.51,1
29,-0.028560534364893603,70.4435847164043,4.79086660006983,0.5455014507758467,39,261,6.69,1
30,-0.04275531529852634,72.30823746681189,4.509093542799902,0.5400076992750771,38,263,6.92,1
