method,cluster,target,n,cv_r2_mean,cv_r2_std
Global,all,action_rp,1024,0.052569784485855454,0.0392251583722959
SKATER,1,action_rp,316,-0.13028453322785594,0.19615697021388082
SKATER,2,action_rp,35,-0.12835794665910374,0.6989909937991566
SKATER,3,action_rp,278,0.003923494751194001,0.13259419800574937
SKATER,4,action_rp,95,0.0027537549323287448,0.12650214563410125
SKATER,5,action_rp,66,-0.15860742478281592,0.6682558680816917
SKATER,6,action_rp,101,-0.038074296286098486,0.12132277480576417
SKATER,7,action_rp,37,-1.5954385745715607,1.1018177948045214
SKATER,8,action_rp,96,-0.046036837049153866,0.3176964222028274
Ward,1,action_rp,307,0.04179597081328017,0.07089190609348882
Ward,2,action_rp,220,0.012146670813759908,0.08742354530192524
Ward,3,action_rp,54,-0.1888334583494206,0.3711467310396823
Ward,4,action_rp,21,,
Ward,5,action_rp,286,0.0441113724026152,0.0583590099110711
Ward,6,action_rp,15,,
Ward,7,action_rp,93,-0.24911878057957662,0.49322444954302475
Ward,8,action_rp,28,,
K-Means,1,action_rp,194,-0.09674466088331386,0.11648880241854848
K-Means,2,action_rp,41,-0.34143854983638117,0.43538354952296654
K-Means,3,action_rp,233,-0.011348046698914005,0.10897749378920125
K-Means,4,action_rp,22,,
K-Means,5,action_rp,289,0.06574867151809176,0.10651165613464256
K-Means,6,action_rp,131,-0.13469581888278875,0.1278808279772334
K-Means,7,action_rp,97,-0.017140525732904144,0.14385773802034454
K-Means,8,action_rp,17,,
Global,all,flood_rp,1024,0.07702689246412182,0.042512131911817436
SKATER,1,flood_rp,316,-0.027147601523894616,0.10963747587821508
SKATER,2,flood_rp,35,-0.6308733497811444,1.0322408269521162
SKATER,3,flood_rp,278,-0.2074988241090529,0.4604511673027301
SKATER,4,flood_rp,95,-0.034633764750323225,0.2385215079223703
SKATER,5,flood_rp,66,-0.1261674822952569,0.7420114726275002
SKATER,6,flood_rp,101,-0.21335063794200915,0.16464015198920623
SKATER,7,flood_rp,37,-2.05527073638071,1.9703164163458196
SKATER,8,flood_rp,96,0.036115825353394304,0.11189083462881357
Ward,1,flood_rp,307,0.007151860559056011,0.17529676014640763
Ward,2,flood_rp,220,0.015824704534825474,0.07525624963016597
Ward,3,flood_rp,54,-0.2137320068788851,0.18846265307515545
Ward,4,flood_rp,21,,
Ward,5,flood_rp,286,0.03983321102331923,0.034531289994185636
Ward,6,flood_rp,15,,
Ward,7,flood_rp,93,-0.32675193858388274,0.2518363670845435
Ward,8,flood_rp,28,,
K-Means,1,flood_rp,194,0.0010724507790221605,0.09185709038284155
K-Means,2,flood_rp,41,-0.35909385966139895,0.380317029920625
K-Means,3,flood_rp,233,-0.09842522516656874,0.21516838588192477
K-Means,4,flood_rp,22,,
