return_period,source,n,r2,bias_dex,rmse_dex,median_ratio
2,nwm,1440,0.14690014488538838,-0.3240594056483737,0.4999579121848367,0.5749681731219
2,ml,1440,0.8192826775804523,-0.01298512545505427,0.2301088930999223,0.9713164785109263
5,nwm,1440,0.27055634558051644,-0.28679848388979423,0.4517606845833226,0.594590119057586
5,ml,1440,0.802611450287557,-0.01703571710339729,0.2350030698996931,0.971670476233631
10,nwm,1440,0.32410371976861396,-0.27578970706091666,0.433849415632362,0.6048347500167095
10,ml,1440,0.7870756773566452,-0.018544851152171082,0.24350709846028828,0.955755596036026
25,nwm,1440,0.3559812732680915,-0.26915413075353045,0.4253836485219199,0.6001840822589456
25,ml,1440,0.7620826291949905,-0.019632389411719832,0.2585500462846526,0.9610779713011512
50,nwm,1440,0.3549765693653686,-0.2672132501433578,0.428730729524839,0.5959474731290347
50,ml,1440,0.7396299543952798,-0.019798161857839558,0.2723907635815134,0.9679176529986858
100,nwm,1440,0.3353339535917005,-0.26680313017107254,0.43937633024186407,0.5904065545569918
100,ml,1440,0.7138519196070615,-0.020268290103042718,0.2882904981863011,0.9788155202670293
200,nwm,1440,0.2995649211315099,-0.267397519332821,0.4563291844558259,0.5873635014688383
200,ml,1440,0.6859704512452766,-0.02059130378006035,0.30554807955169194,0.9848338019985744
500,nwm,1440,0.2316370009450439,-0.26920073320365334,0.4867414894712222,0.5740411290559908
500,ml,1440,0.6464293710969751,-0.020802394840682956,0.3301818798137023,0.9908936934504676
